time,SimNetwork.a.parkingLot.parkingOccupancy:vector
105835.379803394197,1
106612.548990555203,0
109884.531612390056,1
110568.827864515122,2
111635.238334085405,1
112326.931158064047,0
113887.770535908311,1
115770.846712448512,0
116384.472759164702,1
117905.84526319635,0
124559.715635590346,1
126205.26270960325,0
127376.873396114196,1
129235.934473250062,0
133485.404269752084,1
135352.390148561057,0
135654.32056557004,1
137442.209770950298,0
142480.65355490124,1
144286.595096679841,0
144345.027992189388,1
146085.393145516585,0
148456.70989267306,1
149157.74528288511,2
150227.238359592686,1
151248.750501600157,0
153416.880097696406,1
154994.842819460188,0
158450.830269205549,1
159486.196456588676,2
160375.889955705929,1
161090.281210892785,0
164854.938819486524,1
166583.57157212494,2
166662.302803294278,1
167701.850868675678,2
168245.713070534432,1
169049.697277987334,2
169484.644636877025,1
170098.558597797945,2
170687.374275485887,1
171835.675414508624,0
172453.482464032527,1
173187.172682163552,2
174139.628559380998,1
174671.664120777613,0
175531.351769484856,1
175978.85689410125,2
177191.958808731884,1
177468.958552241057,2
178138.191881096937,1
178740.94740738545,2
179307.068762014048,1
180714.517202213824,0
180894.867199807532,1
182338.54580136422,0
194437.612213183053,1
195335.98814439637,2
196011.270645028491,1
196607.207316217417,2
197031.772858318521,1
197175.868227247632,2
197762.858852291286,3
198325.550165526473,2
198585.476266714196,3
199305.26896933233,2
199602.994401981771,1
200394.452536239638,0
207699.936736446053,1
209673.571147551894,0
212401.883540019204,1
213591.367090287118,2
214214.265257747145,1
214734.2714304309,2
215315.924951313804,1
216246.197376271468,0
223242.188143727603,1
225010.181420250289,0
225969.431157351418,1
227505.238683469225,0
230590.162459076846,1
232274.564991949984,0
233261.669532419717,1
233554.222714093804,2
235266.503628284779,1
235553.055727012057,0
236349.151685931696,1
236904.976956603307,2
237835.843237078611,1
238740.135321557739,0
239025.926774694278,1
241041.790266641647,0
242327.002825056612,1
243955.032758078565,2
244110.58347412561,1
245171.446749098781,2
245947.691074514034,1
246709.05068195644,0
248852.085512855852,1
250872.449443919756,0
250969.79440267073,1
252871.970732225726,0
253639.314654279459,1
255548.728504595978,0
257496.698759585975,1
259266.728821728594,0
259398.701982076837,1
260995.995068486739,0
266010.060470428543,1
267001.024247768026,2
267588.252458286539,1
268204.611653416068,2
268668.886783746837,1
269885.853622171532,0
273462.784586382547,1
273726.39304901096,2
274040.008566345845,3
275317.525736066375,2
275505.89893402249,1
276054.856064791212,0
